Title,Authors,ISBN13,MyRating,Publisher,DateRead,externalLink
"The Reindeer People: Living with Animals and Spirits in Siberia","Vitebsky, Piers",9780618773572,5,"Mariner Books",2019/04/06,
"In Our Time","Hemingway, Ernest",,2,Scribner,2019/02/10,
"Imago (Xenogenesis, #3)","Butler, Octavia E.",9780446603638,3,Aspect,2019/01/29,
"Architect or Bee?: The Human/Technology Relationship","Cooley, Mike",9780896081314,5,"South End Press",2019/01/21,
"Flesh and Stone: The Body and the City in Western Civilization","Sennett, Richard",9780393313918,5,"W. W. Norton  Company",2019/01/13,
"The Entrepreneurial State: Debunking Public vs. Private Sector Myths","Mazzucato, Mariana",9780593656938,2,PublicAffairs,2019/01/03,
"Tour de France: The Complete History of the World's Greatest Cycle Race","Lazell, Marguerite",9781780974897,2,Carlton,2019/01/03,
"They Can't Kill Us Until They Kill Us","Abdurraqib, Hanif",9781937512651,5,"Two Dollar Radio",2019/01/02,
"Call for the Dead (George Smiley, #1)","Le Carré, John",9780143122579,3,"Penguin Books",2018/10/16,
"A Man in Love","Knausgård, Karl Ove",,0,"Farrar, Straus and Giroux",2018/10/16,
"My Struggle: Book 1","Knausgård, Karl Ove",,5,"Farrar, Straus and Giroux",2018/04/24,
"A History of Rock Creek Park: Wilderness & Washington, D.C. (Landmarks)","Einberger, Scott",9781626195745,5,"The History Press",2018/04/14,
"Wired Love: A Romance of Dots and Dashes","Thayer, Ella Cheever",,5,,2018/04/14,
"The Bell Jar","Plath, Sylvia",,5,,2018/02/26,
"The Sea","Banville, John",9781400097029,5,Vintage,2018/02/05,
"A Scanner Darkly","Dick, Philip K.",9780547572178,4,"Mariner Books",2017/12/29,
"Do Androids Dream of Electric Sheep?","Dick, Philip K.",9780345404473,5,"Ballantine Books",2017/11/30,
"The Lowland","Lahiri, Jhumpa",9780307278265,4,Knopf,2017/10/08,
"Station Eleven","Mandel, Emily St. John",9780385353304,3,Knopf,2017/10/08,
"Ready Player One","Cline, Ernest",9780307887443,2,"Broadway Books",2017/07/04,
"Madame Bovary","Flaubert, Gustave",9780192840394,5,"Oxford University Press",2017/06/30,
"Tragic Design: The True Impact of Bad Design and How to Fix It","Shariat, Jonathan",9781491923610,3,"O'Reilly Media",2017/05/31,
"Pale Fire","Nabokov, Vladimir",9780141185262,5,"Penguin Books Ltd",2017/04/30,
"Time Travel: A History","Gleick, James",9780804168922,5,Vintage,2017/04/01,
"Stories of Your Life and Others","Chiang, Ted",9780330426640,5,"Small Beer Press",2017/03/01,
"The North Water","McGuire, Ian",9781627795944,5,"Henry Holt and Co.",2017/02/01,
"Just Kids","Smith, Patti",9780066211312,5,Ecco,2017/01/01,
"Perdido Street Station (New Crobuzon, #1)","Miéville, China",9780345459404,3,"Ballantine Del Rey",2016/12/29,
"The Left Hand of Darkness (Hainish Cycle #4)","Le Guin, Ursula K.",9780441478125,5,Ace,2016/09/01,
"Cities of Tomorrow: An Intellectual History of Urban Planning and Design Since 1880","Hall, Peter Geoffrey",9781118456477,5,Wiley-Blackwell,2016/08/01,
Purity,"Franzen, Jonathan",9780374239213,5,"Farrar, Straus and Giroux",2016/08/01,
Galápagos,"Jr., Kurt Vonnegut",9780385333870,2,"Dial Press",2016/07/01,
"Cities of the Plain (The Border Trilogy, #3)","McCarthy, Cormac",9780679747192,5,"Vintage Books",2016/02/01,
"A Wizard of Earthsea (Earthsea Cycle #1)","Le Guin, Ursula K.",9780553383041,5,"Bantam Spectra",2015/08/22,
"The Martian","Weir, Andy",9780804139021,5,Crown,2015/08/15,
"What I Talk About When I Talk About Running","Murakami, Haruki",9780307269195,3,"Knopf Publishing Group",2015/08/10,
"Acceptance (Southern Reach #3)","VanderMeer, Jeff",9780374104115,3,"Farrar, Straus and Giroux",2015/07/04,
"Authority (Southern Reach #2)","VanderMeer, Jeff",9780374104108,3,"Farrar, Straus and Giroux",2015/07/03,
"Annihilation (Southern Reach #1)","VanderMeer, Jeff",9780374104092,5,"Farrar, Straus and Giroux",2015/07/01,
"The Wisdom of Crowds","Surowiecki, James",9780385721707,3,Anchor,2015/05/23,
"The Peripheral (The Peripheral #1)","Gibson, William",9780399158445,5,Berkley,2015/05/18,
"Saga, Vol. 4","Vaughan, Brian K.",9781632150776,5,"Image Comics",2015/05/17,
"Lazarus, Vol. 3: Conclave","Rucka, Greg",9781632152251,5,"Image Comics",2015/05/15,
"Batman: No Man's Land, Vol. 2","Rucka, Greg",9781563895999,4,"DC Comics",2015/05/06,
"Batman: No Man's Land, Vol. 1","Gale, Bob",9781563895647,4,"DC Comics",2015/04/23,
"The Victorian Internet","Standage, Tom",9780425171691,5,"Berkley Trade",2015/04/15,
"The Mayor of Castro Street: The Life and Times of Harvey Milk","Shilts, Randy",9780312019006,0,"St. Martin's Griffin",2015/03/20,
"Lazarus, Vol. 2: Lift","Rucka, Greg",9781607068716,5,"Image Comics",2015/03/16,
"Lazarus, Vol. 1: Family","Rucka, Greg",9781607068099,5,"Image Comics",2015/03/15,
Home,"Robinson, Marilynne",9780374299101,5,"Farrar, Straus and Giroux",2015/02/15,
"American Psycho","Ellis, Bret Easton",9780679735779,3,"Vintage Contemporaries / Random House",2015/01/30,
"The Crossing (The Border Trilogy, #2)","McCarthy, Cormac",9780394574752,5,"Knopf Publishing Group",2015/01/05,
"Nudge: Improving Decisions About Health, Wealth, and Happiness","Thaler, Richard H.",9780300122237,4,"Yale University Press",2015/01/04,
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Larsson, Stieg",9780307269997,5,Knopf,2014/12/31,
"The Girl Who Played with Fire (Millennium, #2)","Larsson, Stieg",9780307269980,5,"Alfred A. Knopf",2014/12/17,
"The Girl with the Dragon Tattoo (Millennium, #1)","Larsson, Stieg",9780307454546,5,Knopf,2014/12/04,
"Gone Girl","Flynn, Gillian",9780553418354,4,"Broadway Books",2014/11/17,
"Aphex Twin's Selected Ambient Works Volume II","Weidenbaum, Marc",9781623568900,4,"Bloomsbury Academic",2014/11/05,
"All the Pretty Horses (The Border Trilogy, #1)","McCarthy, Cormac",9780679744399,5,Vintage,2014/11/05,
"Burning Daylight","London, Jack",9781600961243,4,"Waking Lion Press",2014/10/15,
"No Country for Old Men","McCarthy, Cormac",9780375706677,5,Vintage,2014/10/15,
"The Moon is a Harsh Mistress","Heinlein, Robert A.",9780340837948,1,"Hodder & Stoughton",2014/10/09,
"The Savage Detectives","Bolaño, Roberto",9780374191481,5,"Farrar, Straus and Giroux",2014/10/01,
"A People's History of the United States","Zinn, Howard",9780060838652,5,"Harper Perennial",2014/09/15,
RASL,"Smith, Jeff",9781888963373,5,"Cartoon Books",2014/09/08,
1Q84,"Murakami, Haruki",9780307593313,5,Knopf,2014/08/18,
"True Grit","Portis, Charles",9781585673698,5,"Harry N. Abrams",2014/07/07,
"History of the State of Washington","Meany, Edmond S.",9781230314402,4,Theclassics.Us,2014/07/06,
"Blood Meridian, or the Evening Redness in the West","McCarthy, Cormac",,5,"Vintage Books",2014/06/01,
"The Amber Spyglass  (His Dark Materials, #3)","Pullman, Philip",9780440238157,2,"Laurel Leaf",2014/05/10,
"High Lonesome","L'Amour, Louis",9780553259728,3,Bantam,2014/05/08,
"The Quick and the Dead","L'Amour, Louis",9780553280845,3,Bantam,2014/05/08,
"The Subtle Knife (His Dark Materials, #2)","Pullman, Philip",9780679879251,3,"Alfred A. Knopf Books for Young Readers",2014/05/01,
"The Golden Compass (His Dark Materials, #1)","Pullman, Philip",9780679879244,4,"Alfred A. Knopf Books for Young Readers",2014/04/15,
"Nowhere Men, Vol. 1: Fates Worse Than Death","Stephenson, Eric",9781607066910,4,"Image Comics",2014/03/27,
"Saga, Vol. 3","Vaughan, Brian K.",9781607069317,5,"Image Comics",2014/03/22,
"Saga, Vol. 2","Vaughan, Brian K.",9781607066927,5,"Image Comics",2014/03/21,
"Saga, Vol. 1","Vaughan, Brian K.",9781607066019,5,"Image Comics",2014/03/20,
"Transmetropolitan, Vol. 3: Year of the Bastard","Ellis, Warren",9781563895685,2,Vertigo,2014/03/15,
"The Sea Wolf","London, Jack",9781598184310,4,"Alan Rodgers Books",2014/03/01,
"The Road","McCarthy, Cormac",9780307265432,5,"Alfred A. Knopf",2014/02/18,
"The Ocean at the End of the Lane","Gaiman, Neil",9780062255655,4,"William Morrow Books",2014/02/17,
"The Wind-Up Bird Chronicle","Murakami, Haruki",9780965341981,5,Knopf,2014/02/07,
"Bitters: A Spirited History of a Classic Cure-All, with Cocktails, Recipes, and Formulas","Parsons, Brad Thomas",9781580083591,4,"Ten Speed Press",2014/01/24,
"The City & the City","Miéville, China",9780345497512,5,"Del Rey",2014/01/21,
"War and Peace","Tolstoy, Leo",,5,"Oxford University Press",2014/01/12,
"Autobiography of Mark Twain, Volume 1: The Complete and Authoritative Edition","Twain, Mark",9780520267190,1,"University of California Press",2014/01/12,
"The Gardens of Democracy: A New American Story of Citizenship, the Economy, and the Role of Government","Liu, Eric",9781570618239,4,"Sasquatch Books",2014/01/04,
"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)","Adams, Douglas",9780671742515,2,"Pocket Books",2013/11/24,
"The Dog Stars","Heller, Peter",9780307959942,4,Knopf,2013/11/16,
"Wizzywig: Portrait of a Serial Hacker","Piskor, Ed",9781603090971,5,"Top Shelf Productions",2013/11/03,
"Brief Interviews with Hideous Men","Wallace, David Foster",9780349111889,3,Abacus,2013/10/12,
"The Dragon Reborn (The Wheel of Time, #3)","Jordan, Robert",9780765305114,2,"Tor Books",2013/10/11,
"After the Victorians: The Decline of Britain in the World","Wilson, A.N.",9780312425159,3,Picador,2013/08/29,
